Taxon	HV05_foot	HV01_other	HV08_other	HV04_foot	HV11_foot	HV08_foot	HV11_other	HV03_foot	HV05_other	HV09_foot	HV03_other	HV06_other	HV06_foot	HV09_other	HV07_foot	HV02_foot	HV12_other	HV04_other	HV10_other	HV10_foot	HV01_foot	HV02_other	HV12_foot																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM057.CDS.10655583976.1_sNIHLM057.polypeptide.10655583977.1_putative;seqs=2;	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sAU1203.CDS.10689849444.1_sAU1203.polypeptide.10689849445.1_putative;seqs=4;	0	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sHMP0060.CDS.10481304341.1_sHMP0060.polypeptide.10481304340.1_hypothetical;seqs=6;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM053.CDS.10655610991.1_sNIHLM053.polypeptide.10655610995.1_hypothetical;seqs=1;	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sBVS058A4.CDS.10636626907.1_sBVS058A4.polypeptide.10636626906.1_conserved;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sVCU045.CDS.10495817108.1_sVCU045.polypeptide.10495817106.1_conserved;seqs=3;	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sFRI909.CDS.10481431276.1_sFRI909.polypeptide.10481431275.1_putative;seqs=1;	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM087.CDS.10655572281.1_sNIHLM087.polypeptide.10655572284.1_dnaD;seqs=1;	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM088.CDS.10655655575.1_sNIHLM088.polypeptide.10655655572.1_conserved;seqs=1;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=se12228.CDS.10441892687.1_se12228.polypeptide.10441892689.1_ftsX_like;seqs=28;	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIHLM021.CDS.10667996167.1_sNIHLM021.polypeptide.10667996166.1_putative;seqs=1;	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sNIH05001.CDS.10679393148.1_sNIH05001.polypeptide.10679393149.1_bacterial;seqs=1;	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
centroid=sFRI909.CDS.10481435717.1_sFRI909.polypeptide.10481435718.1_conserved;seqs=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
"centroid=sNIH06004.CDS.10679488335.1_sNIH06004.polypeptide.10679488332.1_holin,;seqs=2;"	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
